Symbol 1,Symbol 2,APR,SHARPE,price
BLK,VRTX,-0.07136972402807418,-0.33362573521647687,-901.1550842105264
ACN,PYPL,-0.07097959265675235,-0.25273730736605876,-371.23947368421045
LOW,NOC,-0.07032251106871057,-0.37614423608788566,-651.0025547368421
PM,TXN,-0.07006019167406663,-0.41584088148441617,-265.72157894736836
AAPL,PFE,-0.06977080871585639,-0.2753950409736535,-192.03
ADBE,UNH,-0.06972200692998576,-0.3653033422705288,-883.4336978947368
SCHW,WFC,-0.06955518638052505,-0.4405203503202014,-107.15157894736842
AAPL,PM,-0.06933683927747447,-0.33044687656832616,-243.84526315789472
KO,TXN,-0.06882911458450314,-0.4457826340292866,-224.64303289473682
AMAT,WFC,-0.06881853041890562,-0.22524265717920824,-147.3557894736842
BLK,KO,-0.06880578887134348,-0.5192885245748582,-697.6460118421054
ADP,BLK,-0.06874033707585636,-0.5494196945834363,-849.1705915789474
CMCSA,PM,-0.06819583009582486,-0.47173398874216876,-144.20052631578946
DIS,IBM,-0.06741184306604475,-0.3413302609621615,-240.19105263157894
ADP,QCOM,-0.06697625622405845,-0.27213934680889784,-346.4657136842105
LOW,PFE,-0.06680110210407086,-0.29721880275945073,-237.4257894736842
AMD,NOC,-0.0666232180712858,-0.15025699949309934,-559.3425547368421
PFE,TMUS,-0.0665583337326019,-0.3166067172994648,-183.02894736842106
CVX,QCOM,-0.06637296680574445,-0.2269507263472083,-301.6344168421052
NOC,TXN,-0.06631845578246598,-0.3355179135757167,-627.4830810526315
ISRG,VRTX,-0.06588888517806957,-0.3088071631082267,-474.5284210526316
NKE,VRTX,-0.06514133491177809,-0.297364138991326,-379.76559284210526
BMY,NKE,-0.0650630716623144,-0.36250795622221904,-189.87717178947366
CRM,ORCL,-0.06463280782643321,-0.22940808776812427,-243.18157894736845
CRM,PM,-0.0646224302478704,-0.19796496316888362,-275.9557894736842
CMCSA,CME,-0.06451198715070217,-0.40098817080711674,-242.49813052631578
TXN,VRTX,-0.06449796081950943,-0.29162451245630755,-428.15210526315786
CME,UNH,-0.06417408073407171,-0.4728836376730197,-684.2070915789474
HD,UNH,-0.06286882109629222,-0.45802997016948566,-773.0807310526316
BLK,PYPL,-0.06264286473516423,-0.22709043655944733,-715.9898210526317
CMCSA,KO,-0.06254949381204988,-0.49809801209493154,-103.1219802631579
CVX,WMT,-0.062258146539731274,-0.3057440226059945,-291.4057894736842
DIS,RTX,-0.062227930137631726,-0.3657759472579871,-196.3421052631579
GILD,UNH,-0.06222336973439779,-0.4491597738308095,-544.3150965263158
BA,PYPL,-0.06209623034636402,-0.12360589756910428,-213.2494736842105
GS,PYPL,-0.06199050282262408,-0.1676163361947755,-383.35859842105265
DHR,PYPL,-0.06174790929255558,-0.1990829871050018,-334.7924768421053
KO,UNH,-0.06150464562207414,-0.5024604907379838,-544.8309413157895
CMCSA,T,-0.06103170470932051,-0.4637922784694123,-61.99263157894737
BMY,DIS,-0.06091501545048128,-0.3169276022411952,-177.1221052631579
ANTM,GE,-0.060686215748830485,-0.2452555211321731,-554.9779084210527
CAT,RTX,-0.060297326658434236,-0.4231961212940369,-304.78526315789475
CVX,XOM,-0.05973672402595598,-0.7376114642599564,-264.3021052631579
NKE,T,-0.059499660106722474,-0.3026569010368616,-135.12717178947366
UNH,WMT,-0.059152437208459197,-0.4349911789379583,-606.2542242105263
BLK,CME,-0.058848138161664676,-0.42139526404527483,-837.0221621052633
CMCSA,NOC,-0.05829565046891394,-0.32564424397809216,-505.9620284210526
CVX,TMUS,-0.05762695153955921,-0.2425088635035442,-300.45894736842104
CVS,PG,-0.05746757424894189,-0.464511528210405,-235.2584210526316
HD,PFE,-0.057434946826457445,-0.2945350928232165,-340.8022963157895
PLD,PYPL,-0.05732569705401369,-0.15545068424833486,-199.63505436842104
AXP,NKE,-0.05722543462960927,-0.22992950252235578,-271.0424349473684
MDT,PYPL,-0.05675383948929402,-0.17940688989678732,-172.71416047368422
AMT,UNH,-0.05641849465596305,-0.39325577572212284,-734.9932036842106
CSCO,CVS,-0.05624074261629686,-0.37385189564976895,-137.9857894736842
NKE,PFE,-0.05615301312434573,-0.24691185004122307,-165.51980336842104
AXP,DIS,-0.056037428924871735,-0.29518334274123326,-258.28736842105263
CSCO,UNH,-0.05587580114799606,-0.378883464667634,-527.5442242105263
ADBE,ORCL,-0.0558313653693272,-0.25320912771694115,-470.19631578947366
BLK,LMT,-0.05575271141053295,-0.32289143049768976,-1066.0087442105264
CVX,NVDA,-0.05573440470023283,-0.09279362465006272,-343.05257842105266
DHR,UNH,-0.05477982008610982,-0.4024507920518214,-737.990385263158
AMT,NFLX,-0.05427777587962401,-0.14406949149202214,-438.80740052631586
CVS,ZTS,-0.054221729345623415,-0.32340236371444936,-259.16315789473686
CVS,NKE,-0.052956515469884446,-0.2400498583593286,-208.23980336842104
AVGO,WMT,-0.05220315031574274,-0.22631559970274032,-660.4720057894738
NOC,SCHW,-0.052166599395265356,-0.22060443045187186,-529.7020284210525
AXP,NFLX,-0.05190306082939922,-0.07426129284459328,-343.43105263157895
CI,CVX,-0.051894188267468166,-0.2235788779243688,-424.73548421052635
BLK,RTX,-0.05174019202717517,-0.3497622332573348,-730.4866631578948
INTU,XOM,-0.0517312617193153,-0.12250472441998575,-490.9673684210527
BAC,QCOM,-0.05108717261188911,-0.13816523420840937,-167.6391776842105
PM,QCOM,-0.05101270033293259,-0.1537228509463721,-236.01967999999997
ISRG,T,-0.05066683024865237,-0.18915968726881027,-229.89000000000001
LMT,UNH,-0.05013096393189198,-0.3410862754846372,-913.1936736842106
HD,LMT,-0.04984964788038093,-0.30629029045481404,-719.9017457894736
MMM,NOC,-0.04961527049517034,-0.3257578534508712,-604.6967652631579
